,Administração,Administração Pública,Arquitetura e Urbanismo,Artes Cênicas,Artes Visuais,Ciência da Computação,Ciências Biológicas,Ciências Econômicas,Ciências Sociais,Ciências da Terra,Ciências do Esporte,Comunicação Social - Midialogia,Curso Superior de Tecnologia Sanitária,Curso Superior de Tecnologia da Construção Civil,Curso Superior de Tecnologia da Construção Civil - Edifícios,Curso Superior de Tecnologia da Construção Civil - Obras de Solos,Curso Superior de Tecnologia em Análise e Desenvolvimento de Sistemas,Curso Superior de Tecnologia em Construção de Edifícios,Curso Superior de Tecnologia em Estradas,Curso Superior de Tecnologia em Saneamento Ambiental,Curso Superior de Tecnologia em Sistemas de Telecomunicações,Curso de Música Composição e Regência,Curso de Música Popular,Dança,Educação Física,Enfermagem,Engenharia Agrícola,Engenharia Ambiental,Engenharia Civil,Engenharia Elétrica,Engenharia Física,Engenharia Mecânica,Engenharia Química,Engenharia de Alimentos,Engenharia de Computação,Engenharia de Controle e Automação,Engenharia de Manufatura,Engenharia de Produção,Engenharia de Telecomunicações,Estatística,Estudos Literários,Farmácia,Filosofia,Fonoaudiologia,Física,Geografia,Geologia,Gestão de Comércio Internacional,Gestão de Empresas,Gestão de Políticas Públicas,Gestão do Agronegócio,História,Licenciatura Integrada Química/Física,Licenciatura em Ciências Biológicas,Licenciatura em Física,Licenciatura em Letras - Português,Licenciatura em Matemática,Linguística,Matemática,Matemática Aplicada e Computacional,Matemática/Física/Matemática Aplicada e Computacional,Medicina,Música,Nutrição,Odontologia,Pedagogia,Programa de Formação Interdisciplinar Superior - ProFIS,Química,Química Tecnológica,Sistemas de Informação,Superior Tecnologia em Saneamento Ambiental,Superior de Tecnologia Ambiental
1997,,,0.08754208754208755,0.21836734693877552,0.1794478527607362,0.2532146389713155,0.29287305122494434,0.17819905213270143,0.19373695198329854,0.05,,,0.11712846347607053,0.11510791366906475,0.19736842105263158,0.14,0.1319052987598647,,,0.1686746987951807,,,,0.2118491921005386,0.1296228487733431,0.11891891891891893,0.13817537643932684,,0.2018681888946549,0.23583305055989143,,0.2031763417305586,0.19272125723738626,0.17268661850705194,0.3531524341580207,0.3504132231404959,,,,0.16589861751152074,,,0.25252525252525254,0.1,0.3536789297658863,0.17084639498432602,0.1552511415525114,,,,,0.21768707482993196,0.17880794701986755,0.14961389961389962,0.21163366336633663,0.1941031941031941,0.16748768472906403,0.206286836935167,0.30995792426367463,0.2776998597475456,0.3230088495575221,0.2097672894133071,0.21330441070137382,,0.12943372744243933,0.1210967250571211,,0.14330056906363167,0.09051724137931035,,,
1998,,,0.09111617312072894,0.21797004991680533,0.16959798994974876,0.23438767234387672,0.2780309936189608,0.17693761814744802,0.19023569023569023,0.041666666666666664,,,0.1116751269035533,0.12081128747795414,0.19736842105263158,0.14,0.13488759367194006,,,0.12455516014234876,,0.0,0.6666666666666666,0.20943952802359883,0.13078530904747687,0.12582781456953643,0.1359154929577465,,0.19681993983669963,0.2351617440225035,,0.20231729055258468,0.19168356997971603,0.17133066818960593,0.3516447368421053,0.3578088578088578,,,,0.15724815724815724,,,0.2546728971962617,0.13333333333333333,0.3383606557377049,0.16081540203850508,0.15857605177993528,,,,,0.21448467966573817,0.1860986547085202,0.13924050632911392,0.2150753768844221,0.18636363636363637,0.16794625719769674,0.19598765432098766,0.30067567567567566,0.2717889908256881,0.32954545454545453,0.20966442953020134,0.20987654320987653,,0.13018672199170125,0.1284056508577195,,0.14182590233545647,0.08346213292117466,,,
1999,,,0.09195402298850575,0.2192,0.15515151515151515,0.20532915360501566,0.25533807829181493,0.17423442449841606,0.1819625277865989,0.047619047619047616,,0.1,0.10294117647058823,0.12491228070175439,0.22580645161290322,0.2,0.13555713271823988,,,0.11428571428571428,0.16326530612244897,0.0,0.5,0.21264367816091953,0.12991452991452992,0.1381509032943677,0.1339343206696716,,0.19112050739957717,0.23085522638345443,,0.1996615905245347,0.18591641987495885,0.1699438202247191,0.34822301923703947,0.365036231884058,,,,0.1417004048582996,,0.025,0.25027808676307006,0.15254237288135594,0.3178528347406514,0.15246636771300448,0.15789473684210525,,,,,0.20106761565836298,0.18739635157545606,0.1245196003074558,0.22093023255813954,0.17487980769230768,0.1636675235646958,0.18543956043956045,0.28753993610223644,0.26004464285714285,0.3015267175572519,0.20845290894860422,0.2059966685174903,,0.1291816778178075,0.1343255463451394,,0.14422277639235245,0.07814407814407814,,,
2000,,,0.09186351706036745,0.2188976377952756,0.13953488372093023,0.18021472392638035,0.23017902813299232,0.16890530557421088,0.17318099819603128,0.043478260869565216,,0.14772727272727273,0.0986046511627907,0.12734990903577925,0.25,0.2,0.13770294648226097,,,0.11242603550295859,0.1643835616438356,0.0,0.4,0.21067415730337077,0.12918266593527153,0.14641744548286603,0.13074204946996468,,0.18223140495867768,0.23070516379789005,,0.19553502694380293,0.18138500635324015,0.16426592797783934,0.34119547657512117,0.3705118411000764,,,,0.12972972972972974,,0.05,0.2470713525026624,0.15862068965517243,0.29663774403470716,0.14072970960536113,0.14814814814814814,,,,,0.18330464716006883,0.18513513513513513,0.11219147344801796,0.222011385199241,0.16042481833426495,0.15944272445820434,0.18193548387096775,0.27589743589743587,0.24972497249724973,0.2839506172839506,0.20516096065406234,0.20396145610278374,,0.1330603889457523,0.14102564102564102,,0.1408624229979466,0.07090719499478623,,,
2001,,,0.09009009009009009,0.21495327102803738,0.12104072398190045,0.16367713004484305,0.21967213114754097,0.16110397946084723,0.16379804934021802,0.043478260869565216,,0.14857142857142858,0.08898305084745763,0.1298844248761695,,0.0,0.14255543822597677,,,0.10986842105263157,0.1541095890410959,0.0,0.4,0.21349862258953167,0.12883270575578268,0.14519427402862986,0.12561174551386622,,0.17445109780439122,0.2330016583747927,,0.19036144578313252,0.18324607329842932,0.16136986301369863,0.33451270504985525,0.37398921832884097,,,,0.12364200724262804,0.25,0.05416666666666667,0.24257932446264074,0.1608910891089109,0.28585461689587427,0.13060686015831136,0.13227513227513227,,,,,0.1632996632996633,0.18129988597491448,0.10167029774872913,0.224105461393597,0.15495207667731628,0.15351506456241032,0.18158890290037832,0.2655935613682093,0.250272034820457,0.26382978723404255,0.20338127681049709,0.2060481804202973,,0.1396534148827727,0.14563342645451233,,0.13989426596177307,0.06284658040665435,,,
2002,,,0.08853118712273642,0.19444444444444445,0.10837988826815642,0.15541031227305738,0.20634920634920634,0.15592064476131431,0.15422612513721184,0.043478260869565216,,0.1541095890410959,0.08437067773167359,0.13027806385169927,,,0.1412940057088487,,,0.10863239573229874,0.14623655913978495,0.0,0.4,0.21780821917808219,0.1286549707602339,0.14415322580645162,0.12206332992849847,,0.16108949416342414,0.23534269199009084,,0.18859915100060642,0.1887526174095124,0.15748454716474067,0.33279897403013786,0.37484662576687117,,,,0.1179746835443038,0.2,0.06281407035175879,0.2348860257680872,0.14893617021276595,0.2789641072239891,0.1246928746928747,0.12872841444270017,,,,,0.14463840399002495,0.17346938775510204,0.09857142857142857,0.22033898305084745,0.14940752189592993,0.14645776566757493,0.1828499369482976,0.2624618514750763,0.2489406779661017,0.22393822393822393,0.20441434662653624,0.20903674280039722,,0.1468955073195356,0.1478222123203743,,0.13665855636658555,0.05697278911564626,,,
2003,,,0.08776844070961717,0.16946564885496182,0.10532150776053215,0.15319148936170213,0.1940763834762276,0.1495127892813642,0.14768493879723257,0.05263157894736842,,0.16273584905660377,0.07858546168958742,0.12935323383084577,,,0.1382882882882883,,,0.10640822784810126,0.14444444444444443,0.0,0.4,0.22099447513812154,0.12536598349747138,0.14201762977473065,0.11773255813953488,,0.15174506828528073,0.23734439834024895,,0.18813198509845663,0.19340594642331468,0.15002627430373094,0.3310789049919485,0.37435008665511266,,,,0.11408379606259465,0.21311475409836064,0.06621392190152801,0.2168792934249264,0.1461794019933555,0.271311120726958,0.12278630460448642,0.13105413105413105,,,,,0.12633305988515175,0.16715257531584063,0.09879175550817342,0.2178030303030303,0.1423487544483986,0.14624505928853754,0.1798469387755102,0.2676659528907923,0.2487360970677452,0.20774647887323944,0.20115230460921843,0.21262135922330097,,0.15656565656565657,0.1515527950310559,,0.13553113553113552,0.051036682615629984,,,
2004,,,0.08617594254937164,0.14485981308411214,0.1061269146608315,0.15578231292517006,0.18202764976958524,0.14303067112055876,0.14255929111284857,0.10526315789473684,0.05263157894736842,0.1708185053380783,0.07210031347962383,0.12663755458515283,,,0.1304920913884007,,,0.10795847750865052,0.15006305170239598,0.0,0.2857142857142857,0.2232876712328767,0.12232334047109207,0.14204003813155386,0.11316397228637413,,0.14656771799628943,0.24130253270247704,,0.1875,0.20087976539589442,0.14318647540983606,0.32911802853437094,0.3693593314763231,0.10344827586206896,0.14516129032258066,,0.10963793982661907,0.21182266009852216,0.0675,0.19960861056751467,0.1398176291793313,0.2656514382402707,0.12266355140186916,0.12823834196891193,0.08333333333333333,0.11864406779661017,0.13793103448275862,0.06779661016949153,0.11300813008130081,0.15561959654178675,0.10339943342776203,0.2106280193236715,0.13662044170518747,0.15003261578604044,0.17223650385604114,0.2698961937716263,0.24373795761078998,0.19384615384615383,0.20045443069931834,0.21503330161750714,0.05084745762711865,0.16482412060301507,0.15052273586093967,,0.1356907894736842,0.04859529233105543,,,
2005,,,0.08370044052863436,0.11885895404120443,0.1108719052744887,0.16358839050131926,0.1687022900763359,0.13636363636363635,0.14238326103597856,0.08333333333333333,0.04242424242424243,0.18072289156626506,0.0718562874251497,0.1251855517070757,,,0.11989574283231973,0.0625,0.06666666666666667,0.10952226194345141,0.1515486725663717,0.0,0.25,0.21768707482993196,0.12235485621269669,0.1419047619047619,0.1087151841868823,,0.14695077149155034,0.24092043249237594,,0.18965129358830146,0.21280327389652148,0.13705838135805562,0.32651072124756336,0.36418732782369145,0.12138728323699421,0.1443850267379679,,0.10476689366160294,0.1952054794520548,0.07010309278350516,0.18929633300297324,0.13256484149855907,0.2619146290924161,0.11914641375222289,0.12396694214876033,0.10112359550561797,0.10614525139664804,0.09883720930232558,0.06779661016949153,0.11138211382113822,0.14742967992240544,0.10648801128349789,0.20058708414872797,0.13059313215400625,0.15958815958815958,0.1673254281949934,0.2819875776397516,0.23529411764705882,0.1988472622478386,0.2031488065007618,0.21210699202252464,0.07428571428571429,0.1688508064516129,0.15054578532443905,,0.12853577371048253,0.046289493019838354,,0.0,0.12
2006,,,0.0837742504409171,0.0949367088607595,0.11395101171458999,0.17121116043119847,0.15732924021488873,0.1346153846153846,0.1438649533887629,0.12,0.046153846153846156,0.1857335127860027,0.043478260869565216,0.12710084033613445,,,0.10717410323709536,0.12295081967213115,0.058823529411764705,0.11143131604226705,0.14788004136504654,,,0.2083897158322057,0.12300055157198014,0.1451310861423221,0.10757839721254356,,0.14606741573033707,0.24110344827586208,,0.1920855614973262,0.22443598007617932,0.13223748773307165,0.3271904300032331,0.3539967373572594,0.12352941176470589,0.14713896457765668,,0.10043668122270742,0.18766066838046272,0.07149321266968325,0.17764471057884232,0.12160228898426323,0.2569037656903766,0.11681957186544342,0.12213740458015267,0.10112359550561797,0.10393258426966293,0.09063444108761329,0.08333333333333333,0.11673469387755102,0.1458128078817734,0.11118930330752991,0.18065153010858837,0.12599681020733652,0.1668806161745828,0.16234652114597545,0.2929427430093209,0.22554347826086957,0.1949367088607595,0.2060327198364008,0.2075383899488134,0.09565217391304348,0.17003027245206861,0.1454211707118091,0.12396694214876033,0.12610340479192939,0.048329779673063254,,0.0,0.1016949152542373
2007,,,0.08691834942932397,0.07777777777777778,0.11889596602972399,0.1777642028100183,0.1423047177107502,0.13371394230769232,0.14459325396825398,0.14285714285714285,0.0525328330206379,0.18742138364779873,0.0,0.12755997659449972,,,0.08938793483047115,0.15,0.061855670103092786,0.11312664907651715,0.14519427402862986,,,0.18783783783783783,0.11977715877437325,0.15009208103130756,0.10591237771161208,,0.1492212966316552,0.24046434494195687,0.0,0.19469759734879868,0.23375477800646868,0.12440076701821669,0.326668816510803,0.33619763694951665,0.12387791741472172,0.1478405315614618,,0.09768492377188029,0.1781115879828326,0.07544006705783739,0.15815815815815815,0.10668563300142248,0.2463330457290768,0.1175,0.12105798575788403,0.10050251256281408,0.10720268006700168,0.08736059479553904,0.08540925266903915,0.12193126022913257,0.14256198347107438,0.11448763250883393,0.1610337972166998,0.11339092872570194,0.1708413615928067,0.15988779803646563,0.2966573816155989,0.21345291479820627,0.19158878504672897,0.20967741935483872,0.2005610098176718,0.09876543209876543,0.17229219143576827,0.1332794830371567,0.12138728323699421,0.12165036154827732,0.05211952744961779,,0.0410958904109589,0.10638297872340426
2008,,,0.09251101321585903,0.07956318252730109,0.125,0.18421052631578946,0.1372854914196568,0.13085234093637454,0.14629356897398135,0.16666666666666666,0.05670103092783505,0.18895705521472392,0.0,0.12742382271468145,,,0.0768888888888889,0.15587044534412955,0.0625,0.11456514146000699,0.14207650273224043,,,0.1651006711409396,0.11467116357504216,0.15349682107175294,0.1042535446205171,0.14754098360655737,0.15669205658324264,0.24194880264244426,0.16666666666666666,0.1961264016309888,0.23870014771048745,0.11665478736041815,0.31675224646983313,0.31642894875858424,0.12289156626506025,0.1419068736141907,0.1568627450980392,0.09705372616984402,0.16446124763705103,0.07513988808952837,0.14428857715430862,0.1001410437235543,0.23392857142857143,0.11786833855799372,0.11609756097560976,0.10175438596491228,0.10416666666666667,0.08695652173913043,0.08863920099875156,0.1273469387755102,0.1458106637649619,0.11442786069651742,0.15354330708661418,0.10335497835497835,0.1695457453614843,0.16424418604651161,0.30656934306569344,0.20055452865064696,0.1952941176470588,0.20859994880982852,0.1903210795718939,0.10473815461346633,0.1702127659574468,0.11974219810040705,0.12071778140293637,0.11248930710008555,0.057862491490810075,0.09090909090909091,0.06015037593984962,0.11538461538461539
2009,0.0944206008583691,0.15625,0.10148731408573929,0.08553654743390357,0.12589559877175024,0.19097832454598712,0.139389193422083,0.1287335722819594,0.14362350646183858,0.2,0.05876685934489403,0.17973462002412546,0.0,0.12937062937062938,,,0.06736458807464725,0.15637860082304528,0.06557377049180328,0.11436170212765957,0.14091470951792337,,,0.14682539682539683,0.10888575458392101,0.15059687786960516,0.1045510455104551,0.15217391304347827,0.1648706896551724,0.24116196218141955,0.14583333333333334,0.19895287958115182,0.24383078730904817,0.11134751773049645,0.30678934010152287,0.296931877275091,0.12049252418645559,0.1407766990291262,0.13636363636363635,0.09807355516637478,0.14834205933682373,0.0768025078369906,0.137,0.09282700421940929,0.22620126926563916,0.1132665832290363,0.10912511759172154,0.10148975791433892,0.10192837465564739,0.08409321175278622,0.08971774193548387,0.13524590163934427,0.1488162344983089,0.1103202846975089,0.15407262021589793,0.09639203015616586,0.16323907455012854,0.18461538461538463,0.3021897810218978,0.1848151848151848,0.1859903381642512,0.2077590607452782,0.17706888580674987,0.10607521697203472,0.1636828644501279,0.10168195718654434,0.12314709236031927,0.10224331320103537,0.06586021505376344,0.06818181818181818,0.07216494845360824,0.11214953271028037
2010,0.07959479015918958,0.12903225806451613,0.10735930735930736,0.09365558912386707,0.12462311557788945,0.19755955839628123,0.14219114219114218,0.1290035587188612,0.14209505334626577,0.18181818181818182,0.06354249404289118,0.16292798110979928,,0.1319358816276202,,,0.060778727445394115,0.15979381443298968,0.057971014492753624,0.11444492070295756,0.13622754491017963,,,0.1301460823373174,0.10232426303854875,0.14445479962721341,0.10616578195181707,0.14285714285714285,0.17011412268188303,0.23845530650823657,0.12903225806451613,0.20223152022315202,0.24263431542461006,0.10721017907634307,0.2942651206518333,0.2777493606138107,0.11673699015471167,0.1392156862745098,0.13245033112582782,0.09830310122878877,0.13764510779436154,0.07704280155642024,0.12574850299401197,0.08990318118948824,0.21622846781504987,0.11063306699446834,0.10477081384471469,0.10318791946308725,0.09891936824605153,0.08043875685557587,0.09090909090909091,0.141439205955335,0.14908256880733944,0.10522598870056497,0.15557729941291584,0.09360126916975145,0.14869176770899808,0.2032520325203252,0.2937771345875543,0.17410228509249184,0.17424242424242425,0.20612038442083966,0.16427579824155483,0.10830618892508144,0.15380631796996375,0.10097965335342879,0.11769759450171821,0.09244791666666667,0.07238605898123325,0.057034220532319393,0.07563025210084033,0.11214953271028037
2011,0.07796101949025487,0.11081081081081082,0.11396743787489289,0.10267857142857142,0.12301587301587301,0.1952191235059761,0.1470811220621683,0.12920353982300886,0.13553201733269138,0.3333333333333333,0.06862745098039216,0.1478463329452852,,0.1337099811676083,,,0.056622851365015166,0.1671018276762402,0.05339805825242718,0.11562959333659971,0.12909441233140656,,,0.12217795484727756,0.09483248154457695,0.1332116788321168,0.10800970873786407,0.12824675324675325,0.1701012923506811,0.24500133297787258,0.12408759124087591,0.20311268715524033,0.2375533428165007,0.10369151187397131,0.27898326100433973,0.26106639839034207,0.11157768446310738,0.13378684807256236,0.13793103448275862,0.10126582278481013,0.1347068145800317,0.07461538461538461,0.11473788328387735,0.08641975308641975,0.20629213483146067,0.10917816436712657,0.10115606936416185,0.10049423393739704,0.1,0.0806159420289855,0.09206927985414767,0.141439205955335,0.1444954128440367,0.10042134831460674,0.15799803729146222,0.09417273673257023,0.13943217665615143,0.20608108108108109,0.2818696883852691,0.162291169451074,0.1712846347607053,0.2009987515605493,0.15384615384615385,0.10808823529411765,0.14560161779575329,0.0976882923191648,0.10669456066945607,0.08926261319534282,0.07933333333333334,0.05045871559633028,0.08108108108108109,0.10975609756097561
2012,0.07625172255397336,0.10099337748344371,0.11661073825503356,0.11028315946348734,0.11793855302279485,0.19125070106561975,0.14940828402366865,0.12657117801812334,0.12664277180406214,,0.06978233034571063,0.13043478260869565,,0.1262135922330097,,,0.05292171995589857,0.16788916055419723,0.05202312138728324,0.11418685121107267,0.12465373961218837,,,0.11671087533156499,0.08771929824561403,0.11569506726457399,0.10560257960499798,0.12433011789924973,0.16844276383636989,0.2457850368809273,0.12222222222222222,0.20362431800467654,0.2271195957327344,0.0984830805134189,0.26014760147601473,0.244796828543112,0.104638619201726,0.1264720942140297,0.13655172413793104,0.10282485875706214,0.12957317073170732,0.0712143928035982,0.10568295114656032,0.08322147651006712,0.199179580674567,0.10942071386775892,0.09788092835519677,0.09865470852017937,0.10018214936247723,0.08308895405669599,0.08955223880597014,0.1375310687655344,0.13693901035673187,0.09567039106145252,0.16420845624385447,0.09626216077828981,0.13220551378446116,0.20543293718166383,0.27,0.1497326203208556,0.18700787401574803,0.19808070866141733,0.14213197969543148,0.1049424509140149,0.13593672763222936,0.09354365370506236,0.095088161209068,0.0865260439087387,0.08344370860927153,0.04953560371517028,0.08870967741935484,0.125
